2025-10-01 sanasi uchun kunlik savdo hisobot

Speska ID: 4,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
VM_18299010,5,18.00,90.00
GM_00909828,4,15.00,60.00
,,Speska jami:,150.00

Speska ID: 5,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,5,15.00,75.00
,,Speska jami:,75.00

Speska ID: 6,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,5,15.00,75.00
,,Speska jami:,75.00

Speska ID: 7,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,12,15.00,180.00
,,Speska jami:,180.00

Speska ID: 8,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,12,15.00,180.00
GM_00909828,12,15.00,180.00
,,Speska jami:,360.00

Speska ID: 9,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,1,15.00,15.00
,,Speska jami:,15.00

Speska ID: 10,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
GM_00909828,18,15.00,270.00
GM_00909828,2,15.00,30.00
,,Speska jami:,300.00

Speska ID: 11,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
VM_18299010,10,18.00,180.00
,,Speska jami:,180.00

Speska ID: 12,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
,,Speska jami:,0

Speska ID: 13,Sana: 2025-10-01,Foydalanuvchi: admin
Mahsulot,Soni,Narx,Umumiy
VM_18299010,10,18.00,180.00
VM_18299010,2,18.00,36.00
,,Speska jami:,216.00


Kunlik jami savdo:,1551.00
